temperature,humidity,motion,smoke,power_usage,incident,severity,action
100,100,1,1,255,overheating,medium,Inspect cooling system
100,100,1,1,255,overheating,medium,Inspect cooling system
100,100,1,1,255,overheating,medium,Inspect cooling system
100,100,1,1,255,overheating,medium,Inspect cooling system
100,100,1,1,255,overheating,medium,Inspect cooling system
100,100,1,1,255,overheating,medium,Inspect cooling system
100,100,1,1,255,overheating,medium,Inspect cooling system
100,100,1,1,255,overheating,medium,Inspect cooling system
100,100,1,1,255,overheating,medium,Inspect cooling system
32,100,1,1,255,intrusion,medium,Alert security
100,100,1,1,255,overheating,medium,Inspect cooling system
32,100,1,1,255,intrusion,medium,Alert security
32,11,1,1,255,intrusion,medium,Alert security
32,100,1,1,255,intrusion,medium,Alert security
32,11,1,1,255,intrusion,medium,Alert security
32,11,1,1,149,intrusion,medium,Alert security
32,11,1,1,255,intrusion,medium,Alert security
32,11,1,1,149,intrusion,medium,Alert security
32,11,1,1,149,intrusion,medium,Alert security
32,11,1,1,149,intrusion,medium,Alert security
32,11,1,1,143,intrusion,medium,Alert security
32,11,1,1,34,intrusion,medium,Alert security
32,11,1,1,149,intrusion,medium,Alert security
32,11,1,1,143,intrusion,medium,Alert security
32,11,1,1,34,intrusion,medium,Alert security
32,11,1,1,34,intrusion,medium,Alert security
25,11,1,1,34,intrusion,medium,Alert security
32,11,1,1,34,intrusion,medium,Alert security
25,11,1,1,34,intrusion,medium,Alert security
25,11,0,1,34,normal,low,No action needed
25,11,1,1,34,intrusion,medium,Alert security
25,11,0,1,34,normal,low,No action needed
25,11,0,1,34,normal,low,No action needed
25,11,0,1,34,normal,low,No action needed
25,11,0,1,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,1,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,normal,low,No action needed
25,11,0,0,34,API Error,low,Check backend server
25,11,0,0,34,API Error,low,Check backend server
